年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s)
2017/8/12,29.3,21,9.5,1.5,1.8
2017/8/13,31.2,23.1,0,3.5,2.2
2017/8/14,25.2,23.4,9.5,0,2.2
2017/8/15,26.3,22.4,43.5,0,2.4
2017/8/16,22.8,21.1,18.5,0,2.5
2017/8/17,28.2,20.9,3.5,0.2,2.2
2017/8/18,30.2,24,0,0.8,1.9
2017/8/19,30.3,22.4,17,2.2,2.3
2017/8/20,29.3,22.4,0,0.6,1.9
2017/8/21,31.5,24.1,0.5,3.7,2.4
2017/8/22,31.9,24.4,0,2.6,2.8
2017/8/23,33.7,24.7,0,5.6,2
2017/8/24,34.8,26.4,0,7.6,2.5
2017/8/25,34.9,25.8,0,3.7,2.1
2017/8/26,33.6,26.1,0,2.7,2.4
2017/8/27,30.6,23.2,0,4.8,3
2017/8/28,31.4,22.3,0,6.7,2.7
2017/8/29,32.2,25.2,0,5.3,4.1
2017/8/30,32.9,24.1,2,4.6,3.3
2017/8/31,24.2,20,8,0,3.6
2017/9/1,27.4,17.3,9.5,2.3,3.6
2017/9/2,24.5,16.8,14.5,4.9,3.3
2017/9/3,27.2,16.4,0,8.6,2.8
2017/9/4,22.5,18.9,8,0,2.1
2017/9/5,27.3,18.8,0.5,2.3,2.2
2017/9/6,22.8,19.8,9.5,0,1.7
2017/9/7,24,20.2,3,0.1,1.6
2017/9/8,28.2,21,0,5.1,2.4
2017/9/9,29.2,21.5,0,8.7,2.4
2017/9/10,29.9,21.6,0,7.8,2.8
2017/9/11,29.8,22.8,3,5.8,4.1
2017/9/12,27,22.7,4.5,0.3,3.4
2017/9/13,31.2,22.1,0,7.1,2.9
2017/9/14,31,22.6,0,6.5,2.7
2017/9/15,28.5,19.9,0,6.9,3
2017/9/16,22.9,18.1,8,0,2.6
2017/9/17,20.9,17.9,52,0,2.5
2017/9/18,33.3,20.3,16,9.3,4.6
2017/9/19,28.2,21.3,0,6.3,2.3
2017/9/20,25.7,21.4,0,0,2.4
2017/9/21,29.5,19.6,0,10.4,3.4
2017/9/22,26.1,19.3,20.5,1.4,2.3
2017/9/23,24,17.7,12.5,1.3,2.6
2017/9/24,26.3,18,0,4,2.1
2017/9/25,28.9,19.6,0,5.9,2.3
2017/9/26,28.2,20,0,7.7,2.5
2017/9/27,26.5,21,2.5,0.5,4
2017/9/28,24.7,16.2,45.5,0.1,2.9
2017/9/29,24.2,16,0,8.3,2.4
2017/9/30,24.2,17.6,0,2.8,1.9
2017/10/1,24.9,16.1,0,7.7,2.8
2017/10/2,25.1,19.6,3.5,0,2.8
2017/10/3,27.8,19.3,0.5,2.9,2.4
2017/10/4,21.3,15.4,0,0.4,2.9
2017/10/5,20.7,14.3,0,4.5,2.6
2017/10/6,18.6,14,28,0,2.6
2017/10/7,22.4,14.8,33.5,1.8,2.4
2017/10/8,26.4,17.3,0,4,1.9
2017/10/9,25.3,16.2,0,10.6,2.1
2017/10/10,28.6,18.1,0,10.4,1.9
2017/10/11,23.4,19.7,0,0.9,2
2017/10/12,29,18.7,0.5,5.9,2.2
2017/10/13,19.8,14.5,4.5,0,2.9
2017/10/14,15.4,13.7,19,0,2.1
2017/10/15,16,14.1,13.5,0,2
2017/10/16,14.3,11.8,32,0,2.6
2017/10/17,15.6,11.6,7.5,0,1.9
2017/10/18,19.5,11.2,0,7.8,2.9
2017/10/19,12.3,9.9,42,0,2.8
2017/10/20,17,11.4,15.5,0,3.2
2017/10/21,17.2,15.2,21.5,0,2.3
2017/10/22,18.1,16.8,147.5,0,3.2
2017/10/23,22.7,15,40,5.5,6.8
2017/10/24,18.2,13.4,0,1.6,2.6
2017/10/25,14.4,11.2,9.5,0,2.7
2017/10/26,20.2,10.3,0,9.9,2
2017/10/27,20.7,9.5,0,9.8,2.1
2017/10/28,16.5,13.4,7.5,0,2.4
2017/10/29,16.3,13.4,105.5,0,2.9
2017/10/30,18.9,10.5,0,9.9,5.1
2017/10/31,16.9,9.1,0,1.1,2.6
2017/11/1,19.1,9.8,0,6.3,2
2017/11/2,20.8,9.6,0,8.8,2.2
2017/11/3,21.9,12,5.5,8.5,2.3
2017/11/4,21.8,11.9,0.5,5.1,2.5
2017/11/5,17.8,10.1,0,9.4,3
2017/11/6,19.8,8,0,9.3,2.1
2017/11/7,21.2,9.3,0,9.3,2
2017/11/8,18.4,11.5,0,0,1.9
2017/11/9,18.8,10.5,0,9.5,4.1
2017/11/10,17.7,9.1,0,4.8,2.1
2017/11/11,20.7,11.3,0,2.9,4.4
2017/11/12,16.1,9.2,0,8.3,3.2
2017/11/13,16.5,7.6,7,4.7,1.9
2017/11/14,15.3,10.3,4,0,1.9
2017/11/15,17,10.2,0,3.2,2.1
2017/11/16,16.4,7.9,0,8.7,2.8
2017/11/17,13.6,5.5,0,7.9,2
2017/11/18,15.1,8.2,0.5,0,3
2017/11/19,12.3,4.7,0,5.4,3.4
2017/11/20,10.4,3.6,0,1.9,1.8
2017/11/21,11.9,3.7,0,9.4,3.4
2017/11/22,11.5,3.2,2,3.1,2
2017/11/23,14.5,6.1,27,2.8,2.5
2017/11/24,14.8,5.1,0,4.9,1.7
2017/11/25,14.4,3.7,0,8.3,1.7
2017/11/26,18.2,3.5,0,6.6,2.9
2017/11/27,14.5,7.7,0,4.4,2.5
2017/11/28,15,9.9,0,0.6,2
2017/11/29,19.2,7.3,0,8.6,1.6
2017/11/30,14.3,7.7,0.5,0,2.1
2017/12/1,10.2,6.7,0,0.5,2.2
2017/12/2,11.1,4.5,0,7.3,2
2017/12/3,12.5,5.2,0,8.1,2
2017/12/4,12.6,4.6,0,2.8,2.1
2017/12/5,14.5,4.4,0,8.5,2.6
2017/12/6,11.1,2.8,0,8.9,2.2
2017/12/7,11.5,2.7,0,7.8,2
2017/12/8,9.5,2.6,4.5,0.5,2.1
2017/12/9,10.4,1.2,0,8.9,2.4
2017/12/10,13.3,1.3,0,8.4,1.9
2017/12/11,16,5.1,0,8.6,2.7
2017/12/12,10.3,3.8,0,8.4,2.9
2017/12/13,10.4,2.6,0,7.9,2.8
2017/12/14,10.1,1.6,0,8.9,3.5
2017/12/15,8.3,3,0,0.4,1.8
2017/12/16,13.3,2.1,0,6.6,1.6
2017/12/17,9.3,3.3,0,8.8,3.8
2017/12/18,9.5,-0.2,0,8.8,2
2017/12/19,12.8,0.3,0,9,2.3
2017/12/20,9.4,2.3,0,5.7,1.9
2017/12/21,10.4,0.7,0,6.8,2
2017/12/22,10.9,1.5,0,5.7,1.9
2017/12/23,13.4,1,0,7.9,1.8
2017/12/24,10.8,4.5,0,2.9,1.6
2017/12/25,15,5.4,10.5,8.1,4.2
2017/12/26,12.6,3.6,0,9,3.1
2017/12/27,9.2,1,0,9,3.1
2017/12/28,9.8,1.1,0,9,3.3
2017/12/29,10.5,2.3,0,8.6,3.4
2017/12/30,11.1,1,0,8.9,2.8
2017/12/31,5.4,2.2,0,0.4,2.1
2018/1/1,13,0.4,0,8.4,2.7
2018/1/2,10.8,0.8,0,8.9,3.2
2018/1/3,8.6,2.3,0,8.9,5.2
2018/1/4,9.6,0,0,8.8,2.8
2018/1/5,6.3,0.8,0,0.1,1.8
2018/1/6,10.5,-1.4,0,8.5,1.9
2018/1/7,11.6,1.2,0,8.5,2.8
2018/1/8,9.5,3.2,8,0.4,1.9
2018/1/9,16,3.3,1.5,5.6,2.7
2018/1/10,11.1,3.3,0,9,4.7
2018/1/11,10.2,0.8,0,9.1,2.4
2018/1/12,7,-1.6,0,8.7,2
2018/1/13,7.3,-0.8,0,9.1,2.3
2018/1/14,8.4,0.4,0,9.3,3.1
2018/1/15,12.4,-1.1,0,8.6,2
2018/1/16,13.7,1.4,0,8.9,1.6
2018/1/17,9.1,4.4,15,0,2.1
2018/1/18,13.7,3,0,5.7,1.9
2018/1/19,11.2,6,0,3.9,2.7
2018/1/20,10.1,4.3,0,2.4,1.6
2018/1/21,12,2.3,0,9.2,2.1
2018/1/22,5.3,-0.5,24,0,3
2018/1/23,10,-0.7,0,9.2,2.8
2018/1/24,7.3,-1.8,0,8,3.3
2018/1/25,4,-4,0,9.6,2.9
2018/1/26,5.1,-3.1,0,8.3,3.8
2018/1/27,7.3,-1.8,0,9.5,4.3
2018/1/28,5.5,-0.8,0,1.9,1.9
2018/1/29,9.7,-1.9,0,6.4,2.1
2018/1/30,6.6,0.8,0,3.7,2.2
2018/1/31,9.2,-1,0,7.5,2
2018/2/1,6.3,0.6,9,1.9,2.3
2018/2/2,3.8,0.5,6,0,2.4
2018/2/3,7.8,1.6,0,4.2,1.9
2018/2/4,9.8,1.9,0,5,2.3
2018/2/5,8.1,0.5,0,7,3
2018/2/6,8.2,-1.6,0,8.9,2.1
2018/2/7,9.1,-1.8,0,9.2,2.1
2018/2/8,9.2,-0.7,0,8.8,2.2
2018/2/9,9.5,-1.4,0,9.5,1.9
2018/2/10,11.9,0.3,1.5,5.8,2.7
2018/2/11,14.9,4.2,0,2.9,2.6
2018/2/12,9.7,-0.7,0,9.3,3.5
2018/2/13,9.7,-1.2,0,6.9,1.9
2018/2/14,11,-0.2,0,9.7,3.1
2018/2/15,15.1,5.5,0,8.2,2.7
2018/2/16,10,3.4,0,6.1,3.1
2018/2/17,12.3,0.6,0,7.3,3.3
2018/2/18,9.8,-1.8,0,9.9,3.8
2018/2/19,10.7,1.5,0,7,2.2
2018/2/20,12.4,3.2,0,9.7,2.5
2018/2/21,8.6,3.5,0,0.2,2.6
2018/2/22,5.7,1.5,2,0,2.8
2018/2/23,8.1,1.8,0.5,2,2
2018/2/24,14.4,0.5,0,9.1,2.5
2018/2/25,8.9,2.9,0,0,2.3
2018/2/26,10.9,3.9,0,5.8,2.7
2018/2/27,12.8,3.9,0,7.2,2.4
2018/2/28,14.7,3.3,1,5.7,2.5
2018/3/1,20.3,6.7,48,7.7,3.2
2018/3/2,14.4,5.4,0,10.9,3
2018/3/3,16.2,3.2,0,9.1,2.1
2018/3/4,21.2,5.8,0,10.4,3.7
2018/3/5,19.9,9.7,15.5,0.4,4.9
2018/3/6,12.5,4.4,3,7,3.5
2018/3/7,8.3,2.8,0,0.7,2.8
2018/3/8,9.8,3.6,26,0,2.9
2018/3/9,17.5,6.4,58,0,3.6
2018/3/10,11.8,4.4,1.5,3.8,2.8
2018/3/11,16.1,5.5,0,4.4,2.2
2018/3/12,15.9,5.2,0,11.3,3.4
2018/3/13,17.5,5.3,0,10.9,2.6
2018/3/14,21.5,7.2,0,10.8,2
2018/3/15,22.1,9,0,7.6,4.1
2018/3/16,17.5,5.7,4,0,4.5
2018/3/17,12.1,3.1,0,11.4,3.2
2018/3/18,15.8,5.4,0,4.1,2.9
2018/3/19,18,8.7,0.5,0.2,2.1
2018/3/20,11.1,6.5,10,0,3.7
2018/3/21,6.6,1.7,31,0,3.1
2018/3/22,14.5,4.1,20,1.8,2.8
2018/3/23,18.8,7.8,2.5,3.6,2.6
2018/3/24,16.8,7.1,0,7.1,2.7
2018/3/25,19.3,6.6,0,11.6,2.7
2018/3/26,21.8,8.2,0,11.5,2.2
2018/3/27,22.1,10.1,0,8.1,2
2018/3/28,22.9,11.1,0,10.9,2.5
2018/3/29,24.2,12.4,0,10.9,2.4
2018/3/30,18.4,9.6,0,10.8,4
2018/3/31,18.1,8.3,0,11,3.2
2018/4/1,21.9,9.6,0,9.6,3.7
2018/4/2,24.5,12.3,0,9.5,2.6
2018/4/3,23.4,14.3,0,8.1,2.3
2018/4/4,26.2,14.7,0,10.8,3.3
2018/4/5,15.3,11.6,0,0.4,3.3
2018/4/6,22.4,11.6,1,3,5.3
2018/4/7,21.8,10.2,0,3.8,4.1
2018/4/8,16.8,7.2,0,7.3,2
2018/4/9,19.9,5.5,0,11.2,3.7
2018/4/10,19.1,8,0,11.1,3.3
2018/4/11,21.9,12.4,0,5.3,6.5
2018/4/12,25.9,13.9,0,8.4,2.4
2018/4/13,20.9,11.9,0,11.8,3.9
2018/4/14,18.8,11.4,0,0.8,4
2018/4/15,22.1,13.5,19,0,4.8
2018/4/16,20,11.7,0,4.9,3.7
2018/4/17,15,11,2.5,0,2.3
2018/4/18,16,10.4,28,2.4,2.3
2018/4/19,22.2,10.2,0,9,3.3
2018/4/20,26.4,12.3,0,12,3
2018/4/21,26,12.8,0,12.2,2.8
2018/4/22,28.3,13.9,0,12.1,2.1
2018/4/23,18.7,15.1,0,0,3
2018/4/24,21.3,15.4,1.5,0,3.3
2018/4/25,22.5,16.6,57,1.9,3.5
2018/4/26,25,14.8,0,9.9,3.9
2018/4/27,22,15.1,0,2.7,2.9
2018/4/28,26.1,15.2,0,12.3,4.4
2018/4/29,25.6,14,0,12.1,4.4
2018/4/30,25.7,16.7,0,9.2,4.5
2018/5/1,28.1,16.7,0,12.1,2.9
2018/5/2,25.3,17.1,3.5,2.9,3.2
2018/5/3,27.4,16.8,14,1.9,6.2
2018/5/4,23.8,13.2,0,9.7,3.8
2018/5/5,24.3,11.5,0,12.4,3.3
2018/5/6,26.5,14.4,0,10.1,4.5
2018/5/7,21.6,13.9,21,0.1,4.3
2018/5/8,14.6,11.4,10.5,0,3.1
2018/5/9,14.3,10.3,35,0,2.9
2018/5/10,15.8,10,9,3.2,1.8
2018/5/11,22.4,9,0,11.9,3.7
2018/5/12,24.6,12.9,0,9.7,2.8
2018/5/13,21.4,14.6,49,0,3.4
2018/5/14,28.6,15.2,0,10.9,2.9
2018/5/15,28.4,14.8,0,12.6,3.6
2018/5/16,29,18.8,0,11.3,4.3
2018/5/17,28.4,21.4,0,5.8,3.7
2018/5/18,27.1,20,0,9.7,3
2018/5/19,26.3,15.3,0,2.3,3.9
2018/5/20,22.1,13.1,0,11,3.5
2018/5/21,27.2,13.7,0,11,2.4
2018/5/22,27.3,15,0,13.4,3.1
2018/5/23,22,17,9,1.3,2.3
2018/5/24,25.7,16.1,6,7.8,2.8
2018/5/25,27.1,18.7,0,8.3,3.7
2018/5/26,25.2,18,0,2.7,2.7
2018/5/27,26.9,16.2,0,11.2,2.9
2018/5/28,26,18.8,0,0.7,2.5
2018/5/29,27.6,19.3,0,3.6,3.2
2018/5/30,25,17.4,8.5,0.1,2.6
2018/5/31,22,16.5,0,1.6,2.4
