年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s)
2017/6/1,26.4,19.3,15.5,1.7,2.4
2017/6/2,29.1,18.3,0,10.6,3.6
2017/6/3,26.6,16,0,12.1,3.6
2017/6/4,26.7,16.7,0,7.2,3.6
2017/6/5,25.6,15.3,3.5,9.2,3.1
2017/6/6,24.2,15.4,0,4.4,3
2017/6/7,22.6,17.9,0,0,4.4
2017/6/8,25.8,19.2,0,4.9,4.1
2017/6/9,28.1,20.6,0,7,3.2
2017/6/10,30.6,20,0,8.3,3.4
2017/6/11,25.3,19.1,0,3.7,3
2017/6/12,26.3,16.6,0,5,3.1
2017/6/13,19.4,14.8,9.5,0,2.5
2017/6/14,24.6,15.2,3.5,3.6,2.7
2017/6/15,26,17.4,0,7.2,3
2017/6/16,29,17.5,0,9.7,2.9
2017/6/17,27.7,17.9,0,12.2,2.9
2017/6/18,22.5,17.7,11.5,0,2.7
2017/6/19,30.5,17.3,1,11,3.5
2017/6/20,28,16.5,0,11.2,3.3
2017/6/21,24.4,19.8,45.5,0,5
2017/6/22,27.9,20,0,4.6,3.1
2017/6/23,30.2,19.1,0,12.1,3.2
2017/6/24,29,21.9,0,7.2,3.2
2017/6/25,23.9,21.5,10,0,1.9
2017/6/26,25.9,20.3,0.5,2.1,2.7
2017/6/27,25.6,21.3,1,0,2.4
2017/6/28,25,20.2,3,0,1.6
2017/6/29,29.1,19.9,0,3.7,2.6
2017/6/30,25.7,22.1,2,0.1,2.9
2017/7/1,25.3,22.1,2,0.1,2.1
2017/7/2,32,20.9,1,3.1,1.9
2017/7/3,32.5,24.5,0,6.2,2.5
2017/7/4,29.9,23.5,15,0.1,2
2017/7/5,31.4,21.6,0.5,5,3.1
2017/7/6,30.7,23.2,0,6.8,3.1
2017/7/7,32.3,23,0,10.9,2.6
2017/7/8,33.7,22.8,0,12.6,2.6
2017/7/9,32.5,23,0,13.1,2.9
2017/7/10,32.1,23,0,13.5,3.7
2017/7/11,31.6,24.8,0,7.2,4.8
2017/7/12,33.1,25.6,0,10.3,4.1
2017/7/13,33.4,26,0,5.6,5
2017/7/14,32.4,25.4,0,12.1,4.4
2017/7/15,33.7,23.6,0,11.5,2.8
2017/7/16,34.9,25.1,0,6.6,2.2
2017/7/17,35,25.3,0,6.1,3
2017/7/18,32.7,22.7,10.5,3.5,2.3
2017/7/19,31.1,22.9,0,6.6,3.4
2017/7/20,32.3,24.9,0,7.7,3.8
2017/7/21,33.7,25.8,0,11.6,4.5
2017/7/22,32.5,25.8,0,9.7,4.1
2017/7/23,28.5,26.2,0,0,4.5
2017/7/24,32.9,26.7,0,2.3,4.7
2017/7/25,32.7,27,0,1.8,3.5
2017/7/26,28.2,23.2,35,0,2.7
2017/7/27,26.7,22.5,0.5,0,2.4
2017/7/28,32.3,22.5,0,3.5,2.2
2017/7/29,33.5,23.7,16,3.1,2.4
2017/7/30,29.2,23.3,0.5,0.1,2.3
2017/7/31,33,23.2,0,8.4,2.4
2017/8/1,31,22.7,6.5,0,2.8
2017/8/2,25.4,20.9,0.5,0.5,3
2017/8/3,28.9,20.2,0,0.7,2.3
2017/8/4,29.2,22,0,0.6,2.2
2017/8/5,31.9,24.6,0.5,2.9,1.8
2017/8/6,33.5,26.3,0,6.1,2.7
2017/8/7,33.2,25.9,9,5,4.3
2017/8/8,33.9,26.9,0,3.3,4.2
2017/8/9,37.1,25.9,0,8.5,2.6
2017/8/10,28.4,22.4,2.5,0,2.6
2017/8/11,24.8,21.7,10.5,0,2.4
